Date,Narrative,Debit Amount,Credit Amount,Categories
2020-01-09,STARBUCKS COFFEE- MBS SINGAPORE SG SGD 12.60 SGD 12.60,-14.08,,DinnerBars
2020-01-09,BUS/MRT 23527123 SINGAPORE SG SGD 2.34 SGD 2.34,-2.6,,Transport
2020-01-09,BUS/MRT 23540369 SINGAPORE SG SGD 2.34 SGD 2.34,-2.6,,Transport
2020-01-09,HEYTEA MBS SINGAPORE 018SG SGD 4.50 SGD 4.50,-5.02,,DinnerBars
2020-01-09,049-ST20 (RASAPURA) SINGAPORE SG SGD 28.80 SGD 28.80,-32.17,,DinnerBars
2020-01-09,SPAGO SINGAPORE SG SGD 63.56 SGD 63.56,-71.04,,DinnerBars
2020-01-09,MATSURI SINGAPORE SG SGD 41.02 SGD 41.02,-45.82,,DinnerBars
2020-01-09,DING TAI FUNG-MBS SINGAPORE SG SGD 19.42 SGD 19.42,-21.69,,DinnerBars
2020-01-09,HEYTEA MBS SINGAPORE 018SG SGD 8.70 SGD 8.70,-9.71,,DinnerBars
2020-01-10,DING TAI FUNG-MBS SINGAPORE SG SGD 29.19 SGD 29.19,-32.63,,DinnerBars
2020-01-10,DING TAI FUNG-MBS SINGAPORE SG SGD 60.85 SGD 60.85,-68.01,,DinnerBars
2020-01-10,MBS SWEET SPOT SINGAPORE SG SGD 11.00 SGD 11.00,-12.29,,DinnerBars
2020-01-10,PREMIER TAXIS SINGAPORE SG SGD 28.18 SGD 28.18,-31.49,,Business
2020-01-10,UBER *TRIP SYDNEY AU,-78.1,,Business
2020-01-10,DEFT RENT NetBank BPAY 4481 0034744003,,,Business
2020-01-10,TIANN'S SINGAPORE SG SGD 16.00 SGD 16.00,-17.88,,DinnerBars
2020-01-10,"MBS FRONT OFFICE SINGAPORE SG SGD 1,413.58 SGD 1,413.58",-1580.07,,Business
2020-01-10,JASONS DELI MBLM SINGAPORE SG SGD 8.25 SGD 8.25,-9.22,,DinnerBars
2020-01-10,COMFORT/CITYCAB TAXI SINGAPORE SG SGD 10.91 SGD 10.91,-12.19,,Transport
2020-01-10,Grab Singapore SG SGD 35.00 SGD 35.00,-39.12,,Business
2020-01-10,STARBUCKS COFFEE- MBS SINGAPORE SG SGD 12.60 SGD 12.60,-14.08,,DinnerBars
2020-01-10,BUS/MRT 23671852 SINGAPORE SG SGD 3.26 SGD 3.26,-3.62,,Transport
2020-01-11,THE COFFEE BEAN-T1TW SINGAPORE SG SGD 3.90 SGD 3.90,-4.34,,DinnerBars
2020-01-12,TRANSPORTFORNSW TAP SYDNEY AU,-23.65,,Business
2020-01-12,THE LORD NELSON BREW THE ROCKS AU,-117.9,,DinnerBars
2020-01-12,BEN & JERRYS MANLY MANLY AU,-21.0,,DinnerBars
2020-01-12,ALH GROUP 8758 NEWBRGH MANLY AU,-16.0,,DinnerBars
2020-01-12,H AND M SYDNEY 0003 SYDNEY AU,,,
2020-01-13,Opera Bar Sydney AU,-36.0,,DinnerBars
2020-01-13,TRANSPORTFORNSW TAP SYDNEY AU,-2.8,,Transport
2020-01-13,MANLY LIBRARY MANLY AU,-1.0,,Shopping
2020-01-13,MANLY LIBRARY MANLY AU,-3.0,,Shopping
2020-01-13,BAR LUCA SYDNEY AU,-29.35,,DinnerBars
2020-01-14,ALDI STORES - MANLY MANLY AU,-12.07,,Groceries
2020-01-14,COLES 0815 MANLY AU,-4.0,,Groceries
2020-01-14,Salary SAP Australia Pt WAGE/SALARY 013625,,,Business
2020-01-15,TRANSPORTFORNSW TAP SYDNEY AU,-15.3,,Transport
2020-01-15,ALDI STORES - MANLY MANLY AU,-68.9,,Groceries
2020-01-16,MARK EDWARD RUFF FRENCHES FOREAU,-100.0,,Medical
2020-01-16,COLES 0815 MANLY AU,-5.8,,Groceries
2020-01-17,AUSTRALIAN RED CROSS S MANLY AU,-10.0,,Shopping
2020-01-18,INSITU PTY LTD MANLY AU,-36.0,,DinnerBars
2020-01-18,STEYNE HOTEL OPERATION MANLY AU,-24.17,,DinnerBars
2020-01-18,STEYNE HOTEL OPERATION MANLY AU,-17.12,,DinnerBars
2020-01-18,TRANSPORTFORNSW TAP SYDNEY AU,-3.73,,Transport
2020-01-18,STEYNE HOTEL OPERATION MANLY AU,-25.18,,DinnerBars
2020-01-19,ALDI STORES - MANLY MANLY AU,-25.75,,Groceries
2020-01-20,ALDI STORES - MANLY MANLY AU,-28.29,,Groceries
2020-01-20,AGL RETAIL ENERGY LTD SYDNEY AU,,,
2020-01-20,COLES 0815 MANLY AU,-5.95,,Groceries
2020-01-20,Direct Credit 074806 BUPA_CLM_CR-2001 C89802714 01747232,,47.9,Business
2020-01-20,AGL SALES 0308 MELBOURNE AU,,,
2020-01-21,ALDI STORES - MANLY MANLY AU,-3.6,,Groceries
2020-01-21,THE TREEHOUSE HOTEL NORTH SYDNEY AU,-19.98,,DinnerBars
2020-01-21,THE TREEHOUSE HOTEL NORTH SYDNEY AU,-9.99,,DinnerBars
2020-01-21,TRANSPORTFORNSW TAP SYDNEY AU,-9.6,,Transport
2020-01-22,CASH DEPOSIT CBA ATM MANLY A NSW 219701 AUS,,600.0,Business
2020-01-22,Direct Credit 078094 SAP Australia Pt /INV/3838562 1 5.1,,1962.01,Business
2020-01-22,TRANSPORTFORNSW TAP SYDNEY AU,-8.53,,Transport
2020-01-23,ALDI STORES - MANLY MANLY AU,-13.29,,Groceries
2020-01-23,HUMPHREYS NEWSAGENCY MANLY AU,-8.0,,Shopping
2020-01-24,TRANSPORTFORNSW TAP SYDNEY AU,-3.73,,Transport
2020-01-24,ALDI STORES - MANLY MANLY AU,-28.86,,Groceries
2020-01-24,ALDIMOBILE CHATSWOOD AU,,,
2020-01-24,TRANSPORTFORNSW TAP SYDNEY AU,-7.46,,Business
2020-01-24,QANTAS AIRW MASCOT AU,-1654.28,,Business
2020-01-25,LINKT SYDNEY SYDNEY AU,-4.57,,Transport
2020-01-25,WOOLWORTHS 1573 BALGOWLAH AU,-109.01,,Groceries
2020-01-25,UHAUL AUST WARANA AU,-62.0,,Transport
2020-01-25,UHAUL AUST WARANA AU,-30.0,,Transport
2020-01-25,DAN MURPHYS 1237 MANLY VALE AU,-77.99,,DinnerBars
2020-01-26,CASH DEPOSIT CBA ATM DEE WHY B NSW 215502 AUS,,200.0,Business
2020-01-26,WOOLWORTHS 1056 NARRABEEN AU,-13.8,,Groceries
2020-01-26,Wdl ATM CBA ATM NARRABEEN B NSW 220802 AUS,-50.0,,Business
2020-01-26,COLES 0784 DEE WHY AU,-13.7,,Groceries
2020-01-27,THE BEACH SHED DEE WHY AU,-9.35,,DinnerBars
2020-01-27,Wdl ATM CBA ATM HARBORD NSW 219797 AUS,-50.0,,Business
2020-01-27,LINKT SYDNEY SYDNEY AU,-8.44,,Transport
2020-01-28,ALDI STORES - BALGOWLA BALGOWLAH AU,-84.04,,Groceries
2020-01-28,DEE WHY LIBRARY DEE WHY AU,-1.0,,Shopping
2020-01-28,UBER *TRIP SYDNEY AU,-82.53,,Business
2020-01-28,SUPER CHEAP AUTO BROOKVALE AU,-11.99,,Transport
2020-01-28,DEE WHY RSL DEE WHY AU,-10.0,,Transport
2020-01-28,DEE WHY RSL DEE WHY AU,-5.0,,Transport
2020-01-29,POST DEE WHY-RET DE DEE WHY AU,-12.8,,Shopping
2020-01-29,DOUGLASS HANLY MOIR DEE WHY AU,-212.5,,Medical
2020-01-29,KMART 1055 WARRIEWOOD AU,-31.5,,Shopping
2020-01-29,UBER *TRIP SYDNEY AU,-60.69,,Business
2020-01-29,RIVERLAND BAR MELBOURNE AU,-24.26,,DinnerBars
2020-01-29,Royce Hotel 379 St Kilda AU,-1.0,,Business
2020-01-30,MYKI STKLD CMCLTS SKR SOUTH MELBOURAU,-20.0,,DinnerBars
2020-01-30,SAFI CAFE MELBOURNE AU,-4.0,,DinnerBars
2020-01-30,GM CABS PTY LTD MASCOT AU,-17.12,,Business
2020-01-30,TransportforNSW Tap Sydney AU,-1.0,,Business
2020-01-30,AI SUSHI MELBOURNE AU,-9.4,,DinnerBars
2020-01-31,UBER TRIP HELP.UBER.COM Sydney AU,-86.73,,Business
2020-01-31,SLATER ST BENCH MELBOURNE AU,-9.0,,DinnerBars
2020-01-31,Royce Hotel 379 St Kilda AU,-503.23,,Business
2020-01-31,UBER *TRIP Sydney AU,-15.09,,Business
2020-02-01,Transfer to xx2105 NetBank Vicky,,,
2020-02-01,COLES 0784 DEE WHY AU,-61.56,,Groceries
2020-02-01,LIQUORLAND 3626 DEE WHY AU,-6.0,,DinnerBars
2020-02-01,BUPA HI P T PHI MELBOURNE AU,,,
2020-02-01,Wdl ATM CBA ATM MANLY B NSW 219702 AUS,-50.0,,Shopping
2020-02-02,ALDI STORES - DEE WHY DEE WHY AU,-79.32,,Groceries
2020-02-03,Transfer from xx2105 NetBank Vicky Ausgaben Jan,,,
2020-02-03,CHEMIST WAREHOUSE DEE WHY AU,-19.98,,Shopping
2020-02-04,COLES 0784 DEE WHY AU,-11.8,,Groceries
2020-02-05,CITIBANK CREDITCARDS NetBank BPAY 49502 4147263113320030,,,
2020-02-05,DEE WHY LIBRARY DEE WHY AU,-1.0,,Shopping
2020-02-05,COLES 0784 DEE WHY AU,-17.28,,Groceries
2020-02-05,COLES 0784 DEE WHY AU,-5.5,,Groceries
2020-02-05,BPAY PAYMENTS,,,
2020-02-05,Direct Credit 078094 SAP Australia Pt /INV/3995390 1 29.,,1002.57,
2020-02-06,DEE WHY LIBRARY DEE WHY AU,-0.2,,Shopping
2020-02-06,COLES 0784 DEE WHY AU,-8.15,,Groceries
2020-02-06,CHEMIST WAREHOUSE DEE WHY AU,-14.35,,Shopping
2020-02-07,COLES 0784 DEE WHY AU,-14.5,,Groceries
2020-02-07,Direct Debit 494894 OPTUS BILLING 62188084370,,,
2020-02-08,ALDI STORES - ULLADULL ULLADULLA AU,-3.99,,Groceries
2020-02-08,WOOLWORTHS 1136 ULLADULLA AU,-78.0,,Groceries
2020-02-08,HAYDENS PIES ULLADULLA AU,-10.2,,Shopping
2020-02-09,ALDI STORES - BALGOWLA BALGOWLAH AU,-87.53,,Groceries
2020-02-09,LINKT SYDNEY SYDNEY AU,-3.57,,Transport
2020-02-09,7-ELEVEN 2321 ALBION PARK RAU,-118.53,,Transport
2020-02-10,UBER TRIP HELP.UBER.COM Sydney AU,-21.41,,Business
2020-02-10,IKEA TEMPE TEMPE AU,-1648.0,,Shopping
2020-02-10,COLES 0897 BROOKVALE AU,-5.0,,Groceries
2020-02-10,IKEA TEMPE TEMPE AU,,,Shopping
2020-02-10,WOOLWORTHS 1282 WARRIN BROOKVALE AU,-8.02,,Groceries
2020-02-10,Direct Credit 279219 PAYPAL AUSTRALIA 1007967158476,,1381.7,
2020-02-11,Direct Credit 371474 RENTALBONDBOARD S406561-7 6 / 7,,,
2020-02-11,TRANSPORTFORNSW TAP SYDNEY AU,-2.24,,Transport
2020-02-11,POST DEE WHY-RET DE DEE WHY AU,-18.5,,Shopping
2020-02-11,COLES 0784 DEE WHY AU,-2.0,,Groceries
2020-02-11,MY FAST FERRY PYRMONT AU,-9.9,,Business
2020-02-11,UBER TRIP HELP.UBER.COM Sydney AU,-24.84,,Business
2020-02-11,UBER TRIP HELP.UBER.COM Sydney AU,-77.19,,Business
2020-02-12,TRANSPORTFORNSW TAP SYDNEY AU,-3.73,,Transport
2020-02-12,MY FAST FERRY PYRMONT AU,-9.9,,Business
2020-02-12,UBER *TRIP SYDNEY AU,-46.73,,Business
2020-02-12,Paragon Sydney AU,-11.13,,Shopping
2020-02-12,Direct Credit 497073 My Asset Managem Inv Crd STRAUF,,788.93,
2020-02-13,MARK EDWARD RUFF FRENCHES FOREAU,-3000.0,,Medical
2020-02-13,Salary SAP Australia Pt WAGE/SALARY 013625,,,
2020-02-13,LIFELINE NORTHERN BE DEE WHY AU,-7.0,,Shopping
2020-02-13,LINKT SYDNEY SYDNEY AU,-12.0,,Transport
2020-02-13,TRANSPORTFORNSW TAP SYDNEY AU,-7.46,,Transport
2020-02-13,COLES 0784 DEE WHY AU,-10.76,,Groceries
2020-02-14,ALDI STORES - TUGGERAH TUGGERAH AU,-150.64,,Groceries
2020-02-14,TREACHERY CAMP PL SEAL ROCKS AU,-228.0,,Shopping
2020-02-14,TREACHERY CAMP PL SEAL ROCKS AU,-32.0,,Shopping
2020-02-14,LINKT SYDNEY SYDNEY AU,-8.44,,Transport
2020-02-14,TRANSPORTFORNSW TAP SYDNEY AU,-3.73,,Transport
2020-02-16,JASBE HEATHERBRAE PTY HEATHERBRAE AU,-105.66,,Transport
2020-02-17,Direct Credit 074806 BUPA_CLM_CR-1702 C89802714 01933027,,84.0,
2020-02-17,COLES 0784 DEE WHY AU,-20.54,,Groceries
2020-02-17,CHEMIST WAREHOUSE DEE WHY AU,-21.98,,Shopping
2020-02-17,Transfer From Mr Christian Herbert Kuntz Camping & shopping,,60.0,
2020-02-17,Direct Credit 074806 BUPA_CLM_CR-1702 C89802714 01937474,,378.7,
2020-02-18,AGL RETAIL ENERGY LTD SYDNEY AU,,,
2020-02-18,Transfer from CORINNA KUNTZSCH CommBank app seal rocks camping,,40.0,
2020-02-19,Wdl ATM CBA ATM DEE WHY C NSW 215503 AUS,-200.0,,Shopping
2020-02-19,Direct Credit 279219 PAYPAL AUSTRALIA 1008048730491,,19.18,
2020-02-19,Direct Credit 078094 SAP Australia Pt /INV/4122982 1 11.,,201.16,
2020-02-19,AGL SALES 0308 MELBOURNE AU,,,
2020-02-19,COLES 0784 DEE WHY AU,-36.39,,Groceries
2020-02-19,DEFT RENT NetBank BPAY 4481 0034744003,,,
2020-02-21,DEE WHY RSL DEE WHY AU,-10.0,,Transport
2020-02-21,DEE WHY RSL DEE WHY AU,-4.0,,Transport
2020-02-21,COLES 0784 DEE WHY AU,-11.47,,Groceries
2020-02-22,HARBORD DIGGERS FRESHWATER AU,-10.2,,DinnerBars
2020-02-22,HARBORD DIGGERS FRESHWATER AU,-47.0,,DinnerBars
2020-02-22,HARBORD DIGGERS FRESHWATER AU,-11.0,,DinnerBars
2020-02-23,DEE WHY LIBRARY DEE WHY AU,-1.0,,Shopping
2020-02-23,COLES 0784 DEE WHY AU,-71.61,,Groceries
2020-02-24,ALDIMOBILE CHATSWOOD AU,,,
2020-02-25,COLES 0784 DEE WHY AU,-3.0,,Groceries
2020-02-26,CHEMIST WAREHOUSE DEE WHY AU,-30.98,,Shopping
2020-02-27,COLES 0784 DEE WHY AU,-47.3,,Groceries
2020-02-28,DEE WHY LIBRARY DEE WHY AU,-6.0,,Shopping
2020-02-28,CUT&GO BY NESTOR FOR DEE WHY AU,-25.0,,Shopping
2020-02-28,WOOLWORTHS LIQUOR 1472 DEE WHY AU,-37.0,,Groceries
2020-02-28,COLES 0897 BROOKVALE AU,-28.81,,Groceries
2020-02-28,PAYPAL *CARSALESLTD SSE-ICremorne AU,-115.0,,Transport
2020-02-29,COLES 0944 DEE WHY AU,-26.56,,Groceries
2020-02-29,HARBORD DIGGERS FRESHWATER AU,-35.0,,DinnerBars
2020-02-29,HARBORD DIGGERS FRESHWATER AU,-6.0,,DinnerBars
2020-02-29,HARBORD DIGGERS FRESHWATER AU,-30.0,,DinnerBars
2020-03-01,HARBORD DIGGERS FRESHWATER AU,-30.0,,DinnerBars
2020-03-01,Transfer to xx2105 NetBank Vicky,,,
2020-03-01,Wdl ATM CBA ATM DEE WHY C NSW 215503 AUS,-20.0,,Shopping
2020-03-01,Wdl ATM CBA ATM DEE WHY C NSW 215503 AUS,-50.0,,Shopping
2020-03-01,Wdl ATM CBA ATM HARBORD NSW 219797 AUS,-600.0,,Shopping
2020-03-01,HARBORD DIGGERS FRESHWATER AU,-46.0,,DinnerBars
2020-03-01,HARBORD DIGGERS FRESHWATER AU,-13.5,,DinnerBars
2020-03-01,KMART 1055 WARRIEWOOD AU,-7.5,,Shopping
2020-03-01,KMART 1055 WARRIEWOOD AU,-13.0,,Shopping
2020-03-01,GOLDEN LEAF INTERNAT MONA VALE AU,-25.0,,DinnerBars
2020-03-02,ALDI STORES - BROOKVAL BROOKVALE AU,-107.7,,Groceries
2020-03-02,UBER *TRIP SYDNEY AU,-67.67,,Business
2020-03-02,MARK EDWARD RUFF FRENCHES FOREAU,-100.0,,Medical
2020-03-03,TRANSPORTFORNSW TAP SYDNEY AU,-7.46,,Transport
2020-03-03,VAV ENTERPRISES PL DEAKIN AU,-8.0,,DinnerBars
2020-03-03,AUSTRALIAN WAY PTY LTD CANBERRA AU,-30.44,,Business
2020-03-03,UBER *TRIP SYDNEY AU,-23.19,,Business
2020-03-03,BUPA HI P T PHI MELBOURNE AU,,,
2020-03-03,SPOTTO NSW EAST SYDNEY AU,-111.3,,Business
2020-03-03,ACT CABS PHILLIP AU,-37.75,,Business
2020-03-04,Direct Credit 074806 BUPA_CLM_CR-0403 C89802714 02061274,,47.9,
2020-03-05,CITIBANK CREDITCARDS NetBank BPAY 49502 4147263113320030,,,
2020-03-05,BPAY PAYMENTS,,,
2020-03-06,Direct Debit 494894 OPTUS BILLING 62188084370,,,
2020-03-06,THE BEACH SHED DEE WHY AU,-6.0,,DinnerBars
2020-03-06,COLES 0784 DEE WHY AU,-31.79,,Groceries
2020-03-07,COLES 0784 DEE WHY AU,-36.46,,Groceries
2020-03-08,Wdl ATM CBA ATM DEE WHY B NSW 215502 AUS,-20.0,,Shopping
2020-03-09,CHEMIST WAREHOUSE DEE WHY AU,-7.43,,Shopping
2020-03-09,ALDI STORES - BROOKVAL BROOKVALE AU,-69.98,,Groceries
2020-03-10,COLES 0784 DEE WHY AU,-13.0,,Groceries
2020-03-10,WOOLWORTHS 1472 DEE WH DEE WHY AU,-11.17,,Groceries
2020-03-11,DEE WHY LIBRARY DEE WHY AU,-1.0,,Shopping
2020-03-11,COLES 0784 DEE WHY AU,-6.9,,Groceries
2020-03-12,WESTPAC CARDS NetBank BPAY 5181 5163232004551074,,,
2020-03-12,Direct Credit 496610 RMS 8003020934,,21.83,
2020-03-12,Direct Credit 398088 OPTUS BILLING 62181819566,,3.33,
2020-03-12,Salary SAP Australia Pt WAGE/SALARY 013625,,26866.85,
2020-03-13,Transfer to other Bank NetBank,,,
2020-03-15,ALDI STORES - BALGOWLA BALGOWLAH AU,-119.63,,Groceries
2020-03-15,ALDI STORES - BROOKVAL BROOKVALE AU,-4.0,,Groceries
2020-03-16,COLES 0784 DEE WHY AUS,-9.16,,Groceries
2020-03-16,BPAY PAYMENTS,,,
2020-03-16,CITIBANK CREDITCARDS NetBank BPAY 49502 4147263113320030,,,
2020-03-16,Transfer to other Bank NetBank,,,
2020-03-17,PAYPAL *NAL 4029357733 AUS,-100.75,,Groceries
2020-03-17,Direct Credit 252462 FRITZ FLORIAN ST 516323XXXXXX107400,,247.06,
2020-03-17,CITIBANK CREDITCARDS NetBank BPAY 49502 4147263113320030,,,
2020-03-17,DEE WHY LIBRARY DEE WHY,-1.0,,Shopping
2020-03-17,BPAY PAYMENTS,,,
2020-03-18,Direct Credit 078094 SAP Australia Pt /INV/4189907 1 3.3,,298.01,
2020-03-18,Transfer to xx2105 NetBank Vicky,,,
2020-03-18,FISHER AND PAYKEL CUST CLEVELAND QLD,-71.64,,Shopping
2020-03-18,THE BEACH SHED DEE WHY NSW,-9.5,,DinnerBars
2020-03-19,DEFT RENT NetBank BPAY 4481 0034744003,,,
2020-03-20,PAYPAL *BLUME2000DE 4029357733 AU AUS Card xx3636 Value Date: 17/03/2020,-42.97,,Shopping
2020-03-20,COLES 0784 DEE WHY AUS,-30.01,,Groceries
2020-03-21,CHEMIST WAREHOUSE DEE WHY NSW,-4.99,,Shopping
2020-03-22,WOOLWORTHS 1472 DEEWHY DEE WHY,-14.6,,Groceries
2020-03-22,ALDI STORES - BROOKVAL BROOKVALE,-87.09,,Groceries
2020-03-22,TRANSPORTFORNSW TAP SYDNEY,-7.46,,Transport
2020-03-22,WOOLWORTHS LIQ 1472 DEE WHY,-52.0,,DinnerBars
2020-03-23,QBE Insurance Sydney NSW,-444.22,,Transport
2020-03-23,Transfer to other Bank NetBank,,,
2020-03-23,DANIEL BUCHNER REF 2020032300017992 TOYOTA LANDCRUISER,,,
2020-03-23,COLES 0784 DEE WHY AUS,-14.24,,Groceries
2020-03-24,GOODSPANNER PTY LTD BROOKVALE NSW,-67.5,,Transport
2020-03-24,Dee Why RSL Dee Why AUS,-5.0,,Transport
2020-03-24,GOODSPANNER PTY LTD BROOKVALE NSW,-42.0,,Transport
2020-03-24,589 RMS PARR CALL CTR PARRAMATTA,-541.0,,Transport
2020-03-24,Transfer to other Bank NetBank,,,
2020-03-24,TRANSPORTFORNSW TAP SYDNEY AUS Card xx3628 Value Date: 22/03/2020,-7.46,,Transport
2020-03-25,PAYPAL *MISSSEETO 4029357733 AUS,-100.0,,Shopping
2020-03-26,DANIEL BUCHNER REF 2020032600010738,,985.0,
2020-03-26,WOOLWORTHS 1472 DEEWHY DEE WHY,-11.17,,Groceries
2020-03-26,COLES 0784 DEE WHY AUS,-5.2,,Groceries
2020-03-26,LIFELINE NORTHERN BE DEE WHY NSW,-6.0,,Shopping
2020-03-26,MARK EDWARD RUFF FRENCHES FORNSW,-100.0,,Medical
2020-03-26,ALDIMOBILE CHATSWOOD,,,
2020-03-26,PAYPAL *KRISTYMORRI 4029357733 AUS,-15.69,,Shopping
2020-03-29,ALDI STORES - BROOKVAL BROOKVALE,-89.51,,Groceries
2020-03-30,DOUGLASS HANLY MOIR DEE WHY NSW,-117.5,,Medical
2020-03-30,Transfer to other Bank NetBank,,,
2020-03-30,COLES 0784 DEE WHY AUS,-9.25,,Groceries
2020-03-30,COLES 0784 DEE WHY AUS,-5.0,,Groceries
2020-03-31,WOOLWORTHS 1472 DEEWHY DEE WHY,-6.9,,Groceries
2020-04-01,PAYPAL *BUPAHIPTYLT 4029357733 AUS,,,Shopping
2020-04-01,Transfer from xx2105 NetBank Vicky Ausgaben Mar,,247.97,
2020-04-01,Direct Credit 074806 BUPA_CLM_CR-0104 C89802714 02244123,,47.9,
2020-04-01,Transfer to xx2105 NetBank Vicky,,,
2020-04-02,KMART ONLINE 03 AUS,-65.0,,Shopping
2020-04-02,PPSR AFSA BARTON,-2.0,,Transport
2020-04-03,Direct Credit 078094 SAP Australia Pt /INV/4239837 1 3/2,,249.0,
2020-04-03,PPSR AFSA BARTON,-2.0,,Transport
2020-04-03,Wdl Branch DEE WHY,,,Transport
2020-04-04,ALDI STORES - BROOKVAL BROOKVALE,-114.49,,Groceries
2020-04-06,COLES 0784 DEE WHY AUS,-23.0,,Groceries
2020-04-06,Direct Debit 494894 OPTUS BILLING 62188084370,,,
2020-04-08,UNITED DEE WHY DEE WHY NSW,-20.02,,Transport
2020-04-08,COLES 0784 DEE WHY AUS,-5.5,,Groceries
2020-04-08,CHEMIST WAREHOUSE DEE WHY NSW,-9.98,,Shopping
2020-04-09,MARK EDWARD RUFF MONA VALE NSW,-100.0,,Medical
2020-04-10,PPSR AFSA BARTON,-2.0,,Transport
2020-04-10,PAYPAL *SERVICE NSW 4029357733 AUS,-651.86,,Transport
2020-04-11,COLES 0944 DEE WHY AUS,-1.8,,Groceries
2020-04-11,ALDI STORES - DEE WHY DEE WHY,-3.3,,Groceries
2020-04-11,ALDI STORES - BROOKVAL BROOKVALE,-153.25,,Groceries
2020-04-12,AMAZON MKTPLC AU SYDNEY SOUTHNSW,-55.99,,Shopping
2020-04-13,WOOLWORTHS 1472 DEEWHY DEE WHY,-19.11,,Groceries
